data	type	pathway	MetaBrain network	pval	padj	ES	NES	nMoreExtreme	size	ctrlExpr
gtex	adult specific	Schizophrenia	MetaBrainCerebellum	0.372093023255814	0.725198412698413	0.486606343840111	1.02084991723901	2399	983	FALSE
gtex	adult specific	MS	MetaBrain	0.489739130434783	0.725198412698413	0.584510714989722	0.984510781150525	2815	91	FALSE
gtex	adult specific	Schizophrenia	MetaBrain	0.983160621761658	0.983160621761658	0.420539726929475	0.815835134881035	6071	338	FALSE
gtex	adult specific	MS	MetaBrainCortex	0.799751552795031	0.914001774622893	-0.454888792945611	-0.850218857097952	3218	186	FALSE
gtex	adult specific	MS	MetaBrainCerebellum	0.54389880952381	0.725198412698413	-0.504279479937926	-0.941806629674772	2192	185	FALSE
gtex	adult specific	Schizophrenia	MetaBrainCortex	0.203816591571694	0.725198412698413	-0.542481107548914	-1.09891202233279	768	463	FALSE
gtex	adult specific	ALS	MetaBrainCortex	0.355802219979818	0.725198412698413	-0.891119428376999	-1.19806550292329	1762	2	FALSE
gtex	adult specific	ALS	MetaBrainCerebellum	0.177800201816347	0.725198412698413	-0.944198707043212	-1.26942793837806	880	2	FALSE
hdbr	prenatal specific	ALS	MetaBrainCerebellum	0.682517151644192	0.947783251231527	0.497788363388908	0.772732055501353	2884	2	FALSE
hdbr	prenatal specific	Schizophrenia	MetaBrainCortex	0.993251410153102	0.993251410153102	-0.154487387996707	-0.720413263757922	9860	463	FALSE
hdbr	prenatal specific	ALS	MetaBrainCortex	0.756925207756233	0.947783251231527	-0.557440989922073	-0.8329373418533	4371	2	FALSE
hdbr	prenatal specific	Schizophrenia	MetaBrain	0.829310344827586	0.947783251231527	-0.18853091088103	-0.868834750827957	8176	338	FALSE
hdbr	prenatal specific	MS	MetaBrain	0.695956629771855	0.947783251231527	-0.214933570819873	-0.885552307508704	6161	91	FALSE
hdbr	prenatal specific	Schizophrenia	MetaBrainCerebellum	0.510904361744698	0.947783251231527	-0.21065522297006	-0.997641719693627	5106	983	FALSE
hdbr	prenatal specific	MS	MetaBrainCerebellum	0.216933445661331	0.867733782645324	-0.254047218162141	-1.12841262297198	2059	185	FALSE
hdbr	prenatal specific	MS	MetaBrainCortex	0.0015804446317564	0.0126435570540512	-0.338544961361907	-1.5040521238202	14	186	FALSE
hdbr	shared	Schizophrenia	MetaBrain	0.400501504513541	0.400501504513541	-0.407006562308888	-1.02752364651094	3992	338	FALSE
hdbr	shared	ALS	MetaBrainCortex	0.369520547945206	0.400501504513541	-0.8169187133963	-1.10301469143751	2157	2	FALSE
hdbr	shared	ALS	MetaBrainCerebellum	0.314897260273973	0.400501504513541	-0.837699897924464	-1.13107372774572	1838	2	FALSE
hdbr	shared	Schizophrenia	MetaBrainCortex	0.0288201741218853	0.0576403482437706	-0.460026281821546	-1.16631906894459	287	463	FALSE
hdbr	shared	Schizophrenia	MetaBrainCerebellum	0.001999800019998	0.005332800053328	-0.46067723336881	-1.17509362490509	19	983	FALSE
hdbr	shared	MS	MetaBrain	0.12090297373562	0.193444757976992	-0.498534781496384	-1.19158146111297	1113	91	FALSE
hdbr	shared	MS	MetaBrainCerebellum	0.00132965122225632	0.00531860488902526	-0.559841867401613	-1.39256932662138	12	185	FALSE
hdbr	shared	MS	MetaBrainCortex	0.000102218133496882	0.000817745067975059	-0.646557109489395	-1.6089867534036	0	186	FALSE
gtex	adult specific	Schizophrenia	MetaBrainCerebellum	0.269402319357716	0.636446056210335	0.486606343840111	1.04256347900215	1509	983	TRUE
gtex	adult specific	MS	MetaBrain	0.467510259917921	0.718333701332156	0.584510714989722	0.991031598557501	2733	91	TRUE
gtex	adult specific	Schizophrenia	MetaBrain	0.969907407407407	0.969907407407407	0.420539726929475	0.832891744356459	5446	338	TRUE
gtex	adult specific	MS	MetaBrainCortex	0.802404718693285	0.917033964220897	-0.454888792945611	-0.847105342209535	3536	186	TRUE
gtex	adult specific	MS	MetaBrainCerebellum	0.538750275999117	0.718333701332156	-0.504279479937926	-0.948272071755084	2439	185	TRUE
gtex	adult specific	Schizophrenia	MetaBrainCortex	0.193604362915221	0.636446056210335	-0.542481107548914	-1.10201597816971	780	463	TRUE
gtex	adult specific	ALS	MetaBrainCerebellum	0.184205948860671	0.636446056210335	-0.944198707043212	-1.1924464177904	1058	2	TRUE
gtex	adult specific	ALS	MetaBrainCortex	0.318223028105168	0.636446056210335	-0.891119428376999	-1.1945105669666	1754	2	TRUE
